FSC-A,FSC-H,FSC-W,SSC-A,SSC-H,SSC-W,585/15 YG E-A,530/30 Blue B-A,Time
1.038630078125000000e+05,6.563300000000000000e+04,1.037095000000000000e+05,7.913432031250000000e+04,6.896900000000000000e+04,7.519532812500000000e+04,2.065719970703125000e+03,3.884840087890625000e+03,8.407799804687499545e+01
1.104202656250000000e+05,7.876300000000000000e+04,9.187692968750000000e+04,3.295280078125000000e+04,3.005400000000000000e+04,7.185714843750000000e+04,1.634000000000000000e+03,5.157800292968750000e+03,8.407999999999999829e+01
1.108285468750000000e+05,6.394700000000000000e+04,1.135825000000000000e+05,1.345135156250000000e+05,1.042300000000000000e+05,8.457716406250000000e+04,2.014635937500000000e+04,4.043619921875000000e+04,8.408200195312500114e+01
1.327086875000000000e+05,8.382100000000000000e+04,1.037591718750000000e+05,6.825635937500000000e+04,5.840000000000000000e+04,7.659671875000000000e+04,8.024660156250000000e+03,1.246644042968750000e+04,8.408599609374999773e+01
8.784273437500000000e+04,5.557200000000000000e+04,1.035928515625000000e+05,3.714635937500000000e+04,3.232400000000000000e+04,7.531318750000000000e+04,4.957040039062500000e+03,7.215479980468750000e+03,8.408599609374999773e+01
1.190153828125000000e+05,8.588600000000000000e+04,9.081564843750000000e+04,5.529419921875000000e+04,5.007100000000000000e+04,7.237244531250000000e+04,6.592760253906250000e+03,9.137160156250000000e+03,8.409099609375000739e+01
1.112822578125000000e+05,7.311200000000000000e+04,9.975099218750000000e+04,4.369203906250000000e+04,3.584800000000000000e+04,7.987618750000000000e+04,6.013979980468750000e+03,1.026187988281250000e+04,8.409900390625000455e+01
8.492931250000000000e+04,5.504900000000000000e+04,1.011086093750000000e+05,3.083732031250000000e+04,2.811600000000000000e+04,7.187916406250000000e+04,1.779340087890625000e+03,6.591919921875000000e+03,8.410000000000000853e+01
1.116220937500000000e+05,7.061700000000000000e+04,1.035907109375000000e+05,5.305428125000000000e+04,4.648900000000000000e+04,7.479114062500000000e+04,8.059060058593750000e+03,1.584740039062500000e+04,8.410400390625000000e+01
7.042239843750000000e+04,4.157300000000000000e+04,1.110144140625000000e+05,6.244235937500000000e+04,5.076900000000000000e+04,8.060475000000000000e+04,5.260620117187500000e+03,1.124448046875000000e+04,8.410900390624999545e+01
1.026635390625000000e+05,6.318100000000000000e+04,1.064902109375000000e+05,4.964135937500000000e+04,4.358400000000000000e+04,7.464427343750000000e+04,1.064508007812500000e+04,1.601264062500000000e+04,8.411200195312500227e+01
8.886284375000000000e+04,5.848800000000000000e+04,9.957111718750000000e+04,3.576187890625000000e+04,3.154100000000000000e+04,7.430615625000000000e+04,5.721580078125000000e+03,1.167560058593750000e+04,8.411799804687500171e+01
1.210438046875000000e+05,8.081200000000000000e+04,9.816273437500000000e+04,6.100076171875000000e+04,5.261600000000000000e+04,7.597966406250000000e+04,5.339740234375000000e+03,8.872639648437500000e+03,8.412599609375000398e+01
6.576316406250000000e+04,4.943900000000000000e+04,8.717520312500000000e+04,2.137783984375000000e+04,2.025800000000000000e+04,6.915876562500000000e+04,3.260260009765625000e+03,6.284560058593750000e+03,8.412799804687500682e+01
8.671465625000000000e+04,5.913200000000000000e+04,9.610585937500000000e+04,4.470387890625000000e+04,3.939300000000000000e+04,7.437142187500000000e+04,2.005520019531250000e+03,5.735800292968750000e+03,8.414900390625000171e+01
1.137449140625000000e+05,7.987300000000000000e+04,9.332799218750000000e+04,3.977251953125000000e+04,3.600900000000000000e+04,7.238557812500000000e+04,3.037520019531250000e+03,4.643040039062500000e+03,8.416799804687499886e+01
1.181970546875000000e+05,8.220100000000000000e+04,9.423440625000000000e+04,4.709067968750000000e+04,4.245200000000000000e+04,7.269704687500000000e+04,5.412840332031250000e+03,8.938599609375000000e+03,8.419599609374999716e+01
1.030446718750000000e+05,7.363900000000000000e+04,9.170596093750000000e+04,3.453787890625000000e+04,3.129500000000000000e+04,7.232703906250000000e+04,4.248399902343750000e+03,6.866640136718750000e+03,8.421799804687499602e+01
1.118746171875000000e+05,6.705200000000000000e+04,1.093452109375000000e+05,8.110632031250000000e+04,5.878500000000000000e+04,9.042075000000000000e+04,4.793640136718750000e+03,2.052375976562500000e+04,8.422200195312500171e+01
1.243489843750000000e+05,8.907600000000000000e+04,9.148743750000000000e+04,4.853228125000000000e+04,4.295600000000000000e+04,7.404347656250000000e+04,5.296740234375000000e+03,8.327959960937500000e+03,8.423000000000000398e+01
8.561017968750000000e+04,5.567300000000000000e+04,1.007768281250000000e+05,3.647451953125000000e+04,3.334800000000000000e+04,7.168028906250000000e+04,2.100120117187500000e+03,5.152359863281250000e+03,8.423099609375000796e+01
7.249211718750000000e+04,4.697800000000000000e+04,1.011291093750000000e+05,3.581151953125000000e+04,3.095400000000000000e+04,7.582036718750000000e+04,2.217939941406250000e+03,6.494000000000000000e+03,8.425000000000000000e+01
1.166943281250000000e+05,7.777300000000000000e+04,9.833335937500000000e+04,5.325556250000000000e+04,4.609600000000000000e+04,7.571495312500000000e+04,5.274379882812500000e+03,8.457839843750000000e+03,8.426200195312500796e+01
1.090243281250000000e+05,6.731600000000000000e+04,1.061414609375000000e+05,5.519900000000000000e+04,4.609600000000000000e+04,7.847799218750000000e+04,3.799479980468750000e+03,7.301160156250000000e+03,8.426299804687499773e+01
1.326904062500000000e+05,9.048600000000000000e+04,9.610325000000000000e+04,7.938796093750000000e+04,6.915000000000000000e+04,7.523889062500000000e+04,4.995740234375000000e+03,8.031479980468750000e+03,8.427099609375000000e+01
7.553357031250000000e+04,5.797700000000000000e+04,8.538158593750000000e+04,3.355392187500000000e+04,3.231700000000000000e+04,6.804437500000000000e+04,2.164620117187500000e+03,3.020560058593750000e+03,8.427400390625000171e+01
1.084874218750000000e+05,7.223400000000000000e+04,9.842777343750000000e+04,6.277148046875000000e+04,4.845100000000000000e+04,8.490622656250000000e+04,9.535679687500000000e+03,1.692180078125000000e+04,8.427599609374999545e+01
9.886216406250000000e+04,6.814800000000000000e+04,9.507293750000000000e+04,3.338187890625000000e+04,3.123600000000000000e+04,7.003825000000000000e+04,2.008099975585937500e+03,3.760400146484375000e+03,8.428200195312500398e+01
1.250640625000000000e+05,7.628100000000000000e+04,1.074474531250000000e+05,6.007935937500000000e+04,4.613200000000000000e+04,8.534988281250000000e+04,8.640419921875000000e+03,1.336336035156250000e+04,8.429000000000000625e+01
1.271644609375000000e+05,7.890000000000000000e+04,1.056254765625000000e+05,7.215275781250000000e+04,6.202400000000000000e+04,7.623828125000000000e+04,5.237399902343750000e+03,8.215080078125000000e+03,8.430500000000000682e+01
9.707918750000000000e+04,6.122700000000000000e+04,1.039113750000000000e+05,4.126308203125000000e+04,3.600600000000000000e+04,7.510464062500000000e+04,6.317560058593750000e+03,1.160760058593750000e+04,8.430900390624999829e+01
1.039479687500000000e+05,7.423200000000000000e+04,9.177085156250000000e+04,6.073080078125000000e+04,5.435300000000000000e+04,7.322602343750000000e+04,5.936580078125000000e+03,1.423648046875000000e+04,8.431200195312500512e+01
