"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
167222,146885,74610,75683.6,64771,76577.5,45535,251.43,0.768
108594,99993,71173.5,34094.3,32008,69807.6,18075.7,214.02,0.769
110222,93800,77009.7,62081.4,52814,77035.7,35316.3,742.11,0.77
119520,106013,73886.1,42084.7,33035,83489.2,23633.9,165.3,0.771
168005,147124,74837.3,80571.6,70706,74680.3,34717,441.09,0.771
114714,96429,77963.3,62387.8,53611,76265.1,40997.6,301.89,0.775
132523,123371,70397.8,41278.2,37940,71302.3,17906.5,223.59,0.777
124768,109996,74337,46971.8,43022,71552.8,32007,865.65,0.778
136869,124324,72148.9,55422.4,49906,72780.1,42198.5,285.36,0.78
93978.9,82727,74449.7,34895.6,32137,71161.6,25037.4,261,0.782
134501,117388,75090.1,49503.2,43486,74604.3,17047.4,71.34,0.784
116152,100193,75974.6,43132.8,38387,73638.3,42578.7,605.52,0.784
80751.6,71149,74381.1,41860.6,36303,75568.8,27601.7,566.37,0.785
113652,101693,73242.8,46998.1,42987,71651.2,35874.2,245.34,0.786
86027.8,73517,76688.6,51705.2,40843,82965.3,18018.9,416.73,0.788
147191,129085,74728.5,62653.4,56395,72808.8,30283.5,276.66,0.789
111913,102908,71270.7,35923,33562,70146.4,2796.97,251.43,0.792
99998,90655,72290.2,30737.5,28656,70296.4,23119.3,147.03,0.792
109913,98834,72882.6,41446.9,39256,69193.7,18953.2,252.3,0.794
117443,106403,72335.8,57435.9,46993,80099.5,7525.17,178.35,0.795
108327,93514,75917.3,55579.4,46773,77875.1,39996.5,251.43,0.796
106728,97765,71544.2,42699.5,38759,72198.8,31185.9,921.33,0.796
121665,110772,71980.6,59655.2,50946,76739.4,49820.9,758.64,0.796
105269,96856,71228.6,48757.8,43770,73004.1,21855,251.43,0.799
159856,136221,76906.6,64505.6,56603,74685.8,37598.1,635.1,0.799
97936.3,88144,72816.7,46782.9,43174,71014.1,22818.5,59.16,0.8
136680,118644,75498.5,53715.4,48614,72413.1,39138.8,1028.34,0.802
148878,131354,74279.2,71455,63045,74278.3,32897.2,178.35,0.803
138368,123792,73252.4,41985.1,38498,71472.2,23059.1,173.13,0.804
117501,105844,72753.7,42676.5,39330,71112.3,17599.2,236.64,0.808
129194,116117,72916.5,40631,38231,69650.2,12636.9,448.05,0.808
109687,100626,71437.6,39545.8,37064,69924.3,28906.4,176.61,0.809
131756,120529,71640.8,38423.9,34967,72015,12443.7,168.78,0.81
93345,84707,72219.1,43883.4,37017,77692.5,35399.9,147.03,0.81
147084,132764,72604.8,50934.8,45710,73027,67272,60.03,0.813
83264.1,76940,70922.8,37643.7,33358,73955.8,32010.8,180.09,0.813
85969.4,75194,74927.4,54755.5,46305,77496,27219.1,1058.79,0.814
143772,126753,74335.3,52532.8,47523,72444.8,41020.2,934.38,0.815
160854,141473,74513.9,56802.8,51575,72178.9,31442.1,245.34,0.816
120190,106774,73770.3,36722.5,32156,74842.8,26692.2,928.29,0.816
111815,100832,72674.7,42790.7,39750,70549.2,38740.2,189.66,0.816
130262,117721,72517.6,38404.2,35199,71503.6,30349.3,195.75,0.818
154502,136076,74410.2,67586.5,57850,76566.1,52679.5,367.14,0.818
120886,107411,73757.5,64783.9,54301,78187.8,29648.5,266.22,0.82
156078,136165,75119.9,75171.3,66135,74490.5,44750.6,425.43,0.827
110721,96232,75403.4,56884.6,49342,75554,27097.4,307.11,0.829
125432,111788,73535,61591.6,51998,77627.4,32544.2,1070.97,0.829
136482,122877,72791.9,41211.9,37611,71810.5,13642.7,137.46,0.83
113196,102133,72635,79324.2,70899,73323.9,38670.2,156.6,0.83
104373,95425,71681.4,43060.9,39811,70886,19339.6,80.04,0.83
130854,115217,74430.4,87924.3,71847,80201.1,52523.4,398.46,0.834
130855,115376,74328.6,57148.2,51286,73027.1,28641.3,474.15,0.834
120638,108209,73063.7,56230.8,48663,75727.8,34112.6,305.37,0.84
107924,99184,71311.2,44284.8,40114,72350,21166.9,68.73,0.841
85125.3,73653,75744,29148.5,25271,75591.5,13317,174,0.843
128890,114660,73669.2,51279.4,47510,70735.5,13871.6,405.42,0.852
111918,96852,75730.3,45644.1,39606,75527.2,32646.7,296.67,0.853
95111,86888,71738.3,34190.6,32490,68966.3,12390.1,146.16,0.853
142587,119173,78412,104645,83251,82377.2,67074.6,1310.22,0.854
144087,127270,74195.8,49252.2,44780,72081.2,24613,209.67,0.855
151472,127425,77903.6,59423.5,54467,71499.8,15536.3,374.1,0.855
116909,103279,74185,38564.4,35232,71734.8,20325.6,356.7,0.855
104343,95356,71712.4,50822,42554,78269.3,46431.8,285.36,0.856
106490,89931,77603.5,45505.4,40420,73781.3,23830.4,774.3,0.858
101926,89949,74262.2,56279.2,47707,77311.8,29233.1,195.75,0.863
111297,102257,71329.4,79005.1,66311,78081.8,86436.3,843.9,0.864
86929,73864,77127.9,26548.9,23886,72842.2,8129.12,194.01,0.864
132763,118304,73545.7,28319.4,26338,70466.2,8500.89,233.16,0.865
152786,134216,74603.4,59949.4,51262,76642.5,21735.6,522.87,0.866
83023.1,65186,83468.9,37309.1,31836,76802.6,5028.53,53.94,0.867
141661,122485,75796.3,63080.1,57495,71902.2,32140.5,156.6,0.868
131831,117396,73594.3,48605.5,43490,73244.7,11987.3,60.9,0.873
95173.5,84971,73405,34771.1,32250,70659.1,15849.8,653.37,0.873
103753,92166,73775.4,43402.1,37244,76372.1,16858.9,295.8,0.878
176069,145383,79368.8,65833.8,53693,80354.7,23277.2,242.73,0.879
156624,133216,77051.9,53881.7,48530,72763.1,5733.06,227.07,0.884
139551,115203,79386.8,65136.4,55305,77186.1,43544.6,543.75,0.884
132139,110984,78027.8,47317.2,40938,75748.3,9454.99,485.46,0.886
153396,137468,73129.5,60279.4,54106,73013.5,43716.1,264.48,0.887
112772,101940,72499.9,31083,29350,69405.6,9993.61,129.63,0.891
124241,111829,72809.9,58358,52759,72491,50968.7,361.92,0.893
124648,112796,72422.5,51106.4,45642,73382.2,16172.7,167.91,0.894
134701,118030,74792.7,47126.4,41585,74269,14991.1,411.51,0.894
114737,101144,74343.5,69319.8,60814,74702.3,25952.5,195.75,0.895
117966,104225,74176,41750.1,37091,73768.1,12963.5,76.56,0.895
130986,117155,73273.2,44009.9,39229,73522.9,47080.4,402.81,0.897
98290,88751,72579.9,52613.2,47088,73225.9,15947.1,195.75,0.901
125148,111761,73385.8,45202.7,41319,71696,4660.05,120.06,0.901
95180.4,85425,73020.1,55231.1,50055,72313,28534.2,240.99,0.904
