step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba4,ba1,wuhan,ba4,ba4,ba1,ba4,ba4,wuhan,ba4,wuhan,ba1,ba4,4428296.0,2045983.0,3806261.0,2131549.0,471082.0,434154.0,1802312.0,3413298.0,4549296.0,4355550.0
wuhan,ba1,ba1,wuhan,ba1,wuhan,ba4,ba1,ba1,ba1,ba4,wuhan,wuhan,2626583.0,5157614.0,3598955.0,2384617.0,3085700.0,1244524.0,3751601.0,3068607.0,3004176.0,1876388.0
wuhan,wuhan,ba4,wuhan,wuhan,ba1,ba4,ba4,wuhan,ba4,ba4,ba1,wuhan,1325069.0,1173313.0,1292630.0,1287201.0,1450637.0,1202630.0,2905710.0,809771.0,1118860.0,1121455.0
ba4,ba1,ba4,wuhan,wuhan,ba4,wuhan,ba4,wuhan,ba1,ba4,ba1,ba4,4810405.0,1882145.0,3379636.0,2803397.0,211383.0,303171.0,1919496.0,3401982.0,4947241.0,4464946.0
wuhan,ba4,wuhan,ba1,wuhan,ba1,ba4,ba4,wuhan,wuhan,ba1,ba4,ba1,3180933.0,7051473.0,1119715.0,1938542.0,4928213.0,2159446.0,2810142.0,4684657.0,1953790.0,2255027.0
ba1,ba1,ba4,ba1,wuhan,wuhan,ba4,ba1,wuhan,wuhan,ba4,ba1,ba4,5193759.0,2941928.0,3179214.0,8639320.0,771888.0,490613.0,4287192.0,2811441.0,2087163.0,7150361.0
wuhan,ba4,ba4,ba1,wuhan,ba1,wuhan,wuhan,ba4,ba4,ba1,wuhan,wuhan,868717.0,1304921.0,2847019.0,1893273.0,1250048.0,497837.0,3260743.0,1520558.0,1754290.0,1118413.0
ba1,wuhan,ba1,wuhan,ba1,ba4,wuhan,ba4,wuhan,ba1,ba1,ba4,wuhan,4073601.0,4608478.0,4104979.0,4248393.0,3933020.0,1355538.0,8386232.0,1211617.0,3411396.0,1436509.0
wuhan,ba1,ba4,ba4,wuhan,wuhan,ba4,ba4,ba4,ba1,ba4,ba1,ba4,2974153.0,1875067.0,1710684.0,3647806.0,211457.0,407015.0,2159144.0,5228148.0,1778092.0,3827046.0
ba4,wuhan,ba1,ba4,wuhan,wuhan,ba1,ba4,ba1,wuhan,wuhan,ba4,ba1,7042347.0,3458550.0,1210977.0,716050.0,7454346.0,1616861.0,1292759.0,1925623.0,4084845.0,990169.0
