path_rank,path,step_0,step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13
90,0000000000000->0001000000000->0001000010000->0001010010000->1001010010000->1001010011000->1001010111000->1101010111000->1101011111000->1101011111001->1101111111001->1101111111011->1111111111011->1111111111111,0,512,528,656,4752,4760,4792,6840,6904,6905,7161,7163,8187,8191
91,0000000000000->1000000000000->1000000000100->1000000000101->1000000010101->1000010010101->1000110010101->1001110010101->1011110010101->1011110011101->1111110011101->1111111011101->1111111111101->1111111111111,0,4096,4100,4101,4117,4245,4501,5013,6037,6045,8093,8157,8189,8191
92,0000000000000->0000100000000->0000100000100->0000100000110->0001100000110->0001100010110->0011100010110->0111100010110->0111100011110->0111110011110->0111111011110->1111111011110->1111111111110->1111111111111,0,256,260,262,774,790,1814,3862,3870,3998,4062,8158,8190,8191
93,0000000000000->0000000000010->0000001000010->0000001010010->1000001010010->1100001010010->1100101010010->1101101010010->1101101010011->1101101110011->1101101111011->1111101111011->1111111111011->1111111111111,0,2,66,82,4178,6226,6482,6994,6995,7027,7035,8059,8187,8191
94,0000000000000->0000000010000->0100000010000->0100000010001->0100000010101->0101000010101->0101010010101->0111010010101->0111010011101->0111011011101->1111011011101->1111111011101->1111111111101->1111111111111,0,16,2064,2065,2069,2581,2709,3733,3741,3805,7901,8157,8189,8191
95,0000000000000->0000000000010->0000100000010->0000110000010->0100110000010->0110110000010->0110110000011->0111110000011->1111110000011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,2,258,386,2434,3458,3459,3971,8067,8075,8107,8171,8187,8191
96,0000000000000->1000000000000->1000000000100->1000000010100->1001000010100->1011000010100->1111000010100->1111000011100->1111000011110->1111000011111->1111000111111->1111001111111->1111011111111->1111111111111,0,4096,4100,4116,4628,5652,7700,7708,7710,7711,7743,7807,7935,8191
97,0000000000000->0000010000000->0000110000000->0000110000100->0010110000100->0010110000101->0011110000101->0011110001101->0111110001101->0111111001101->1111111001101->1111111011101->1111111111101->1111111111111,0,128,384,388,1412,1413,1925,1933,3981,4045,8141,8157,8189,8191
98,0000000000000->0100000000000->0110000000000->0111000000000->1111000000000->1111000100000->1111100100000->1111100101000->1111110101000->1111111101000->1111111101001->1111111101011->1111111111011->1111111111111,0,2048,3072,3584,7680,7712,7968,7976,8104,8168,8169,8171,8187,8191
99,0000000000000->0000000000010->0000100000010->0100100000010->0100110000010->0101110000010->0101111000010->0101111010010->1101111010010->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,2,258,2306,2434,2946,3010,3026,7122,7123,7155,7163,8187,8191
100,0000000000000->0000000000010->0100000000010->0101000000010->0101000010010->0101000010011->0101000110011->0101000111011->0101100111011->0101101111011->0111101111011->1111101111011->1111111111011->1111111111111,0,2,2050,2562,2578,2579,2611,2619,2875,2939,3963,8059,8187,8191
101,0000000000000->0000010000000->0000110000000->0000110000001->0100110000001->0101110000001->0101110100001->0101110110001->0101111110001->0101111110011->0101111111011->0111111111011->1111111111011->1111111111111,0,128,384,385,2433,2945,2977,2993,3057,3059,3067,4091,8187,8191
102,0000000000000->0000000000100->0000001000100->1000001000100->1000001000101->1001001000101->1001101000101->1001101001101->1011101001101->1011101101101->1011111101101->1011111101111->1111111101111->1111111111111,0,4,68,4164,4165,4677,4933,4941,5965,5997,6125,6127,8175,8191
103,0000000000000->0000000010000->0100000010000->0100000011000->0101000011000->0101000111000->0111000111000->0111010111000->1111010111000->1111011111000->1111011111001->1111111111001->1111111111011->1111111111111,0,16,2064,2072,2584,2616,3640,3768,7864,7928,7929,8185,8187,8191
104,0000000000000->0001000000000->0001010000000->1001010000000->1001110000000->1001110100000->1011110100000->1111110100000->1111110101000->1111111101000->1111111101001->1111111101011->1111111111011->1111111111111,0,512,640,4736,4992,5024,6048,8096,8104,8168,8169,8171,8187,8191
105,0000000000000->0000000000100->0000010000100->1000010000100->1001010000100->1011010000100->1111010000100->1111010000101->1111010100101->1111010101101->1111011101101->1111111101101->1111111111101->1111111111111,0,4,132,4228,4740,5764,7812,7813,7845,7853,7917,8173,8189,8191
106,0000000000000->1000000000000->1000000000010->1000010000010->1000010000011->1000110000011->1000110010011->1100110010011->1101110010011->1101111010011->1101111110011->1101111111011->1111111111011->1111111111111,0,4096,4098,4226,4227,4483,4499,6547,7059,7123,7155,7163,8187,8191
107,0000000000000->0000000000010->0000010000010->0000110000010->0100110000010->0101110000010->0101110001010->0101110011010->0101110011011->0101110111011->0101111111011->1101111111011->1111111111011->1111111111111,0,2,130,386,2434,2946,2954,2970,2971,3003,3067,7163,8187,8191
108,0000000000000->0000000000010->0100000000010->0100000000011->0100010000011->0101010000011->0111010000011->0111110000011->1111110000011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,2,2050,2051,2179,2691,3715,3971,8067,8075,8107,8171,8187,8191
109,0000000000000->0100000000000->0100000000010->0100010000010->0100010000011->0101010000011->0111010000011->1111010000011->1111110000011->1111110001011->1111110101011->1111111101011->1111111111011->1111111111111,0,2048,2050,2178,2179,2691,3715,7811,8067,8075,8107,8171,8187,8191
