step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,wuhan,wuhan,wuhan,wuhan,801468.0,255690.0,589656.0,246222.0,670275.0,246306.0,925853.0,120485.0,345459.0,1107254.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,82385.0,474366.0,361611.0,106428.0,182186.0,146973.0,201422.0,354667.0,36807.0,30899.0
wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,435895.0,807674.0,850693.0,266829.0,566544.0,446461.0,520730.0,620107.0,240596.0,140785.0
ba1,ba1,ba1,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,655044.0,138106.0,283769.0,198089.0,363963.0,223009.0,766914.0,135956.0,311076.0,757889.0
ba4,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,834372.0,108698.0,992191.0,721621.0,432833.0,373005.0,424529.0,560764.0,986581.0,104880.0
wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,2186868.0,890574.0,103475.0,859253.0,36476.0,62812.0,722881.0,334293.0,155208.0,501882.0
wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,1545082.0,901964.0,570899.0,1097499.0,49415.0,80763.0,446163.0,498929.0,14215.0,1132791.0
ba4,ba4,ba4,ba4,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,776565.0,743580.0,1692260.0,429236.0,521494.0,546463.0,656052.0,457865.0,503332.0,297455.0
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba4,ba4,ba4,1454129.0,816339.0,77411.0,467091.0,23240.0,54311.0,209996.0,242723.0,36692.0,365869.0
ba1,ba1,ba1,ba1,ba1,ba1,wuhan,wuhan,ba4,ba4,ba4,ba4,ba4,776144.0,284244.0,4075.0,79888.0,7691.0,12557.0,122584.0,20468.0,10815.0,353301.0
