"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","Time"
85084.3,61456,90732.9,33759.6,24544,90143.1,2301.15,5.765
81400.1,62163,85816.9,39071.9,31675,80840.4,5748.39,5.784
107916,70102,100887,47579.6,33166,94017.3,2583.36,5.784
103775,70924,95891.4,46185.8,32209,93974.8,6659.19,5.786
83265.2,58578,93155.6,49045.9,35190,91340.5,6932.43,5.792
99307,63550,102410,43184.3,28627,98862.2,3488.64,5.802
84670.3,64964,85415.8,31196.3,24468,83557.3,3702.54,5.813
71381.3,49661,94199.5,20446.8,13357,100322,2351.52,5.813
93032.7,64958,93860.5,34034.2,25063,88994.5,3000.12,5.822
73284.1,46715,102809,34584.9,23430,96737.3,2337.72,5.84
101677,67769,98326.7,40507.8,25129,105644,3643.2,5.846
88870,67735,85984.8,29761.8,25075,77785.3,8190.99,5.879
113354,73205,101479,47157.4,31477,98183,5128.77,5.902
68254.4,49329,90679.4,45984.4,34197,88125.6,3191.94,5.953
62729.9,39426,104273,31633.7,20906,99165.3,6719.22,5.959
114409,77014,97357.5,79298.9,59502,87340.5,3709.44,5.983
102222,57842,115820,59504.2,35870,108717,3312,5.986
110842,85290,85170.2,27485.5,21571,83505,4663.71,6.004
102988,62525,107948,45828.4,29341,102362,5043.21,6.024
65204.3,45509,93898.5,55380.1,37237,97467.3,7542.39,6.078
85305.1,57047,97999.1,27851.2,19119,95468,5301.27,6.083
96263.2,70575,89390.1,36047.7,28066,84173.7,6054.75,6.085
151299,109156,90838.1,50646.7,37616,88238.6,9463.35,6.09
74452,49129,99315.8,42784.8,28153,99596.7,2370.15,6.104
109914,81242,88664.8,46746.1,35363,86631.6,5813.94,6.14
68984.3,47183,95817.5,24530.2,17467,92037,4658.19,6.174
100400,64094,102659,42517.8,27863,100005,5179.83,6.183
102405,75644,88720.8,28431.4,18796,99131.9,4730.64,6.266
105694,79359,87284,35003,27410,83690.5,2878.68,6.271
133053,94186,92579.9,46206.5,33383,90710.6,7171.86,6.276
92586.1,57666,105222,66120.6,43990,98506.1,8480.79,6.288
82568.7,56742,95365.4,31124.5,20694,98568.5,3815.01,6.304
76965.4,57191,88195.8,30152.3,22271,88728,2897.31,6.31
107388,76840,91589.6,41662.2,30796,88660,2821.41,6.322
84326.7,55175,100162,30598.7,20255,99003.7,2275.62,6.333
71109.3,44897,103798,30197.8,18689,105894,2691.69,6.337
73624.9,48385,99722.6,25634.9,18197,92323.3,6306.6,6.373
82009.3,54027,99479.1,41898.2,29839,92021.8,4125.51,6.384
101559,70469,94449.7,43045.6,32929,85670.4,4678.89,6.405
60218.6,38196,103322,38184.6,26204,95499.4,8943.78,6.405
82172.6,62014,86839.4,23618.7,18051,85750.1,2739.99,6.411
108141,75095,94375.3,39038.1,28351,90240.3,9508.2,6.414
97353.1,70220,90859.2,38261.2,27612,90811.4,8445.6,6.418
102039,75814,88205.8,26321.4,19934,86535.6,2266.65,6.465
83254.6,60550,90110.2,28657.1,21230,88463,4916.25,6.469
119653,81882,95767.2,41735.3,30186,90610.4,2259.06,6.473
69923.6,49382,92797.3,24448.8,18178,88143.6,3243.69,6.48
92550.6,56790,106804,41068.8,25690,104768,5105.31,6.484
103419,78810,85999.8,61087.1,50547,79201.6,3323.04,6.492
100543,73159,90066.7,36833.6,26911,89700.3,9441.96,6.494
79342.5,50002,103992,26770.6,17562,99899.8,6627.45,6.501
