"FSC-A","FSC-H","FSC-W","SSC-A","SSC-H","SSC-W","530_30 Blue B-A","585_15 YG E-A","Time"
166667,150417,72615.9,155215,144067,70607.3,19069.3,40746.4,0.475
142638,115688,80802.7,140508,119322,77172.3,19613.1,35748.3,0.477
103708,85812,79203.8,85921.6,82182,68518.2,24140.6,103366,0.478
148079,136023,71344.4,193854,177789,71457.9,21992.2,50480.9,0.478
174002,145704,78264.1,130205,116922,72981,18325.3,35009.7,0.478
120779,98949,79994.8,88721.9,83095,69973.9,18609.2,31798.5,0.483
172545,158073,71536,183629,165275,72813.9,28220.7,48984.5,0.483
122482,112913,71089.9,130762,119447,71743.8,21485.1,39647.6,0.483
104633,88368,77598.2,90024.3,72930,80897.2,13278,60820,0.485
99408.3,81756,79686.2,136119,126266,70650,14871.3,22367.7,0.485
148037,132021,73486.5,111901,104851,69942.5,18309.3,30425.6,0.486
150006,124849,78741.7,97519.8,90835,70359,6049.84,10095.5,0.486
149276,129587,75493.1,123644,115725,70020.8,28141.7,56272.5,0.488
127687,105934,78993.6,71573,65093,72060.1,8044.05,15363.3,0.488
133246,112993,77282.7,78599.5,73939,69666.9,9087.92,17004.2,0.488
133739,110159,79564.3,105908,97520,71173.2,25464.1,44926.8,0.489
192341,147968,85189.2,109166,100710,71038.9,11522,18629.3,0.489
113379,98859,75161.9,140651,129892,70964.5,26700.7,56844.9,0.49
161186,144012,73351.6,159449,146574,71292.6,29054.5,51145.6,0.49
130850,122409,70055.1,131434,120443,71516.3,17070.9,31963.8,0.49
171022,149277,75082.8,160019,147723,70991.2,23890.6,50942,0.491
123912,100412,80873.5,119027,109402,71301.5,12912.8,25979.1,0.492
97686.1,83157,76986.4,65839.5,62167,69407.5,41593.6,146290,0.493
168464,138421,79760,154230,133415,75761,23885.9,51168.2,0.493
137675,123426,73102,82299.4,75964,71001.7,26820.6,40876.1,0.494
158143,130621,79344.5,111160,103039,70701.3,35680.5,47771.7,0.496
163716,145698,73640.6,105605,99960,69236.8,16366.3,32732,0.496
187721,158463,77636.3,71403.3,65296,71665.8,7934.07,13211,0.496
170533,139848,79915.5,158761,139306,74688.7,30141.1,43541.8,0.497
93806.4,77397,79430.7,128202,114947,73093.4,6081.8,10285.1,0.497
104723,86576,79273,123602,112742,71848.6,14019.2,31420.1,0.5
123328,100307,80577.1,48336.7,45209,70070,10748.9,19809,0.5
169977,134337,82922.9,160669,141975,74165,26950.7,40778.6,0.501
120148,97690,80602,110575,101413,71456.8,16537.9,28704.8,0.503
126338,112740,73440.3,164206,148626,72405.8,10756.9,190023,0.504
105886,90505,76674,79056.4,73019,70954.6,37211.8,102293,0.505
145697,124252,76846.9,176462,159402,72550.2,21255.3,42383.8,0.51
181039,156664,75732.6,164440,150618,71550.3,18242.1,35118.4,0.511
140589,123052,74875.9,141648,130670,71041.7,13957.1,30831.1,0.512
98719.2,85205,75930.6,145854,125927,75906.7,24147.2,40528.9,0.512
118071,100278,77164.5,74362,69687,69932.5,7955.22,10844.5,0.514
156311,145536,70388.2,152586,142578,70136.2,10985.3,137000,0.514
