step_1,step_2,step_3,step_4,step_5,step_6,step_7,step_8,step_9,step_10,step_11,step_12,step_13,bootstrap_0,bootstrap_1,bootstrap_2,bootstrap_3,bootstrap_4,bootstrap_5,bootstrap_6,bootstrap_7,bootstrap_8,bootstrap_9
ba4,ba4,ba4,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,3.6577555648231615e-05,3.917157208368241e-05,3.142244162128892e-05,2.357550254831761e-05,3.460834211835714e-05,3.1737529149515123e-05,2.357722721862889e-05,3.0327021001264726e-05,3.96268578414651e-05,2.514792139999191e-05
ba4,ba4,ba4,ba4,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,3.055434693972104e-05,3.416054799074892e-05,2.5985075591072233e-05,2.0211216422106585e-05,3.2008197519800425e-05,2.9459570138793236e-05,2.1402113127647864e-05,2.7559789623686497e-05,3.443610954461096e-05,2.29427175692674e-05
ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,wuhan,wuhan,wuhan,3.031322101473035e-05,2.374040872501014e-05,3.661867102552902e-05,1.7951343317213442e-05,2.5168440844318976e-05,1.926801850784315e-05,2.706711447068232e-05,2.226829503757556e-05,3.363301947006018e-05,2.06206726627311e-05
ba4,ba4,ba4,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,4.7731435424552237e-05,3.745607105014801e-05,6.53602280691624e-05,2.8578833653999416e-05,3.651111436487187e-05,2.8868916232036793e-05,3.8414826742248556e-05,3.306765127067569e-05,6.209799316302183e-05,3.337045061498548e-05
ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,ba1,4.466303968969393e-05,4.719330608266867e-05,3.716089378502908e-05,2.7699673385965824e-05,4.140388044887768e-05,3.7818673471633275e-05,2.969131820287752e-05,3.642475058138837e-05,4.75007537756499e-05,3.0105199411510244e-05
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba4,ba4,ba4,3.1239757682923e-05,3.328008893821332e-05,2.359065452586133e-05,3.1519438230270764e-05,2.043410981834601e-05,1.6810498255362933e-05,2.9205543576074786e-05,3.6612530831196756e-05,2.707830238437334e-05,2.78084570912144e-05
ba4,ba4,ba4,ba4,ba4,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,3.28842266756739e-05,3.7006127993070445e-05,2.673045180874267e-05,2.218489201227143e-05,3.430534796345839e-05,3.134404834256735e-05,2.2783884222832064e-05,2.833211943376605e-05,3.651487654811062e-05,2.4127560010705568e-05
wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,ba4,ba4,ba4,ba1,ba1,ba1,5.6412380822355165e-05,8.589303918198188e-05,3.4774039463065956e-05,4.2204352227994626e-05,6.265152019020628e-05,6.117927308322952e-05,4.4596388133669984e-05,5.9495452119082826e-05,4.296329222853225e-05,3.693384770543523e-05
ba4,ba4,ba4,wuhan,wuhan,wuhan,wuhan,wuhan,ba1,ba1,ba1,ba1,ba1,3.851980418953809e-05,4.2869420295096434e-05,3.3732317672215046e-05,2.493238168751499e-05,3.8096648479200584e-05,3.450331400565702e-05,2.544024182992081e-05,3.253211781545374e-05,4.451871238979674e-05,2.8258154218529524e-05
ba4,ba4,ba4,ba4,ba4,ba4,ba4,ba1,ba1,ba1,ba1,ba1,wuhan,3.341844474195994e-05,2.909968485107533e-05,4.755462023047679e-05,1.9062789060008713e-05,2.752442470452677e-05,2.2805684313447697e-05,3.3409179479499633e-05,2.217987913671155e-05,3.609129564818867e-05,2.4325059637199403e-05
ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba1,ba4,ba4,1.1953143370543365e-05,9.532175646844322e-06,7.937927520644696e-06,1.2629635519688944e-05,5.445437258429875e-06,5.38823101009643e-06,1.1591302261201678e-05,9.414827281980577e-06,1.4154149841727466e-05,1.0677022749695466e-05
ba4,ba4,ba4,ba4,ba1,ba1,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,3.812779046438825e-05,3.0680882887784634e-05,4.929629296310205e-05,2.1223645897102523e-05,2.9488250927702698e-05,2.3562950833265437e-05,3.3091124727719986e-05,2.7706284454922757e-05,4.3441258709104086e-05,2.729943123876441e-05
ba4,ba4,ba4,ba1,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,wuhan,4.157396172954989e-05,3.2306878641677006e-05,5.3218033881491855e-05,2.3310897987421813e-05,3.03738806610603e-05,2.448164594154366e-05,3.277689675570069e-05,2.7740698507723415e-05,4.991868872172918e-05,2.6797481109688392e-05
